leader,follower,n_quarters,r,p,same_sector,mean_gap
GOOGL,BA,9,0.34827284551131515,0.35836186606228065,False,7.444444444444445
WFC,DAL,7,0.3461812239520266,0.44687724026378395,False,10.285714285714286
AMZN,GOOGL,13,0.3460124576406533,0.24683126313420867,False,8.923076923076923
CRM,BLK,13,0.3459225061268249,0.2469623745802902,False,8.846153846153847
AMD,JPM,8,0.34547137717761744,0.40193597818980076,False,5.25
JNJ,C,8,0.3454067175030995,0.40203000745227035,False,6.25
PG,UBER,10,0.3433757595996227,0.33133998004443793,False,7.7
BLK,MA,11,0.34248149549168655,0.3025439638258838,True,4.090909090909091
MA,ISRG,10,0.3400420487777468,0.33636461124762296,False,8.1
ISRG,AMD,11,0.33962810430912616,0.306853379106623,False,7.090909090909091
META,ISRG,10,0.3389857096425752,0.33796484750905864,False,7.5
JPM,PEP,10,0.33734725221297807,0.3404546206756047,False,8.6
C,UNH,9,0.33629953779302196,0.37622429887751,False,7.0
HD,AVGO,10,0.33479715232383717,0.3443482733231985,False,9.5
META,WFC,7,0.3344740450521981,0.4634007648950186,False,5.571428571428571
COST,GS,9,0.33349802070752615,0.38046329561336517,False,11.11111111111111
INTC,BLK,12,0.3333531284081365,0.2896612007677755,False,8.75
NVDA,GS,10,0.33322684664684965,0.3467571276302188,False,9.8
GS,JNJ,10,0.3325947146786476,0.3477292273088276,False,9.6
PG,C,8,0.3305455595345981,0.42389173878776654,False,8.0
BA,MSFT,11,0.32895212231220056,0.3232705120053266,False,8.545454545454545
LLY,WFC,11,0.32823896853300816,0.32438358781372373,False,3.727272727272727
MA,ABBV,8,0.3245081233543162,0.4329134331604647,False,5.375
MRK,WFC,12,0.32350328368751635,0.30501612891739105,False,6.416666666666667
MRK,NOW,10,0.3210531405451581,0.365719202220099,False,8.5
MSFT,ABBV,8,0.32055878418582623,0.43885791190554607,False,5.25
RTX,CAT,14,0.32007620093305206,0.26457997543604966,True,9.214285714285714
DAL,UAL,13,0.31861672557493315,0.2886863701101571,True,6.769230769230769
HD,CRM,9,0.31766442092638913,0.4048376663054196,False,10.0
GS,MRK,10,0.31685272097615824,0.3723789663063411,False,7.9
DAL,GOOGL,12,0.316283690438651,0.31655262536630296,False,12.166666666666666
UAL,INTC,5,0.3154712113909639,0.6050952681023362,False,5.6
DAL,PG,13,0.31536010187596303,0.29391745553591025,False,6.384615384615385
UBER,ISRG,9,0.3149050771727305,0.4091568153464042,False,15.333333333333334
LLY,COST,11,0.3117204743973201,0.35073402883000554,False,7.909090909090909
CRM,PANW,14,0.3093265808351429,0.28185499109810663,True,5.0
AMZN,BA,13,0.30927592236863277,0.3038349109611603,False,7.461538461538462
AMD,WFC,7,0.309032804104001,0.5000579876179857,False,6.428571428571429
MS,CAT,16,0.30892679862068273,0.24433275446061045,False,11.3125
ISRG,GOOGL,10,0.3088971069956738,0.38515496668570537,False,11.1
AXP,PG,9,0.30818875546977614,0.4197567693199599,False,6.666666666666667
COST,ADBE,7,0.3077843217851183,0.5018823900625079,False,9.0
WFC,BA,12,0.30611399894231084,0.33320407890518683,False,7.333333333333333
INTC,CRM,12,0.30576271824162293,0.3337875747293841,True,7.583333333333333
PG,MS,7,0.3044201330886534,0.5068100143817239,False,8.0
HD,MRK,13,0.304305332901408,0.31207635262228167,False,7.615384615384615
UAL,PANW,10,0.3040495445213056,0.393042859094894,False,7.1
UAL,HD,9,0.2979676177421849,0.436121483465088,False,6.888888888888889
MSFT,WFC,9,0.29613361887400064,0.43908721184815985,False,5.444444444444445
JNJ,ADBE,9,0.29470658366933355,0.4414009640557555,False,8.777777777777779
COST,V,9,0.29457880733342806,0.44160839725429873,False,10.88888888888889
MRK,NVDA,14,0.2903213027305307,0.3139776415336367,False,6.0
INTC,UBER,11,0.290260215018534,0.3865663703524111,True,8.636363636363637
UBER,UNH,11,0.2899385259676037,0.3871169635684557,False,8.272727272727273
JPM,GOOGL,10,0.28849562100170395,0.41886978583043794,False,13.8
TSLA,AAPL,9,0.2881824918425846,0.4520465888426874,False,10.555555555555555
C,UAL,13,0.2878009742940279,0.34033128865023404,False,5.153846153846154
AVGO,GOOGL,13,0.2861619097979137,0.3432113678847335,True,7.846153846153846
PANW,RTX,12,0.28547096622121637,0.36842411736110126,False,8.5
AMD,AVGO,9,0.28491284881513584,0.4574231770859457,True,8.333333333333334
PANW,TSLA,12,0.28426192909608683,0.37054501976381365,False,9.833333333333334
TMO,GS,10,0.2835259563710234,0.42728532699154703,False,9.5
UBER,JPM,9,0.28290221224627615,0.4607430427998466,False,6.333333333333333
COST,CAT,13,0.2827200422124017,0.34930240377649807,False,10.307692307692308
CRM,JPM,11,0.2820180991303763,0.4007965668050648,False,8.090909090909092
JPM,LLY,11,0.28180752300296724,0.40116347381747025,False,9.363636363636363
UBER,RTX,9,0.2815054528572947,0.4630553582085512,False,9.777777777777779
TSLA,MA,10,0.27963072264944133,0.4339358245683109,False,10.9
MRK,LLY,9,0.2793801963313706,0.4665831656942523,True,8.444444444444445
META,MS,9,0.2792965611419284,0.46672222856893103,False,5.0
GOOGL,JNJ,10,0.2790630228143381,0.43490904354149496,False,6.8
RTX,CRM,9,0.27893716121749756,0.46732001465451106,False,7.666666666666667
TMO,NVDA,10,0.27840968852190817,0.4360303095239927,False,10.0
MA,AVGO,9,0.2780762253593058,0.46875332133428027,False,11.555555555555555
NOW,TMO,9,0.27760359382305394,0.4695409610572121,False,8.777777777777779
DAL,CRM,11,0.27701524294565166,0.4095581518871435,False,6.090909090909091
UAL,BLK,11,0.27510348259807343,0.41293074246835654,False,8.909090909090908
UNH,CRM,9,0.2738734360549116,0.47577685788157886,False,9.555555555555555
UAL,PG,10,0.272795073220312,0.44572072921623695,False,7.9
JNJ,UAL,8,0.2718526317040457,0.5148332121642809,False,7.625
BLK,UNH,10,0.2718506999473716,0.4473601855118884,False,8.1
MS,UBER,11,0.27086029992828703,0.4204642702525514,False,9.0
AMZN,ABBV,7,0.26937603530574433,0.5591027355218688,False,6.428571428571429
V,LLY,9,0.26924786023438213,0.4835575908438259,False,8.666666666666666
JPM,NVDA,13,0.2677814920680043,0.3764103327675702,False,8.076923076923077
